highlight_uid,highlight_name,highlight_type,highlight_author,app_name,APPL #1,APPL #2,APPL #3,APPL #4,app_code_list,manual_highlight_description,highlight_description,manual_image_url,image_url,video_url,main_link,article_links,tech_previous_work_description,tech_previous_work_url,tech_recommendation,tech_impact,notes,related_highlights,tech_external_url,partner_suricata_link,related_highlights,related_highlights
TECH24:3,Jweel,implementation,tpc,Computer generated original content,COMPCONT,,,,COMPCONT,"Jweel is an online service that allows customers to design and customize their own jewelry with professional quality directly in your browser. No download is required, an internet connection and your creativity are all that's needed. The piece of jewelry will be 3D printed in the material of your choice and shipped directly right to your door.","Jweel is an online service that allows customers to design and customize their own jewelry with professional quality directly in your browser. No download is required, an internet connection and your creativity are all that's needed. The piece of jewelry will be 3D printed in the material of your choice and shipped directly right to your door.",../main/img/oldtechimg/jweel.jpg,../main/img/oldtechimg/jweel.jpg,,https://www.jweel.com/en/,,,,,,,,,,"TECH24:1,TECH24","TECH24,TECH24:1"
TECH24:1,Sonova - ear canals,implementation,tpc,"Computer generated original content
Health Support Range
Promote and Communicate Health",COMPCONT,HEALSUPP,PROMHEAL,,"COMPCONT,HEALSUPP,PROMHEAL","Silicone impressions of the ear canal (which are still taken by hand) are scanned into the computer using laser technology. Once a hearing aid shell has been finished on the computer, the file with the three-dimensional structure is stored in a central database and transmitted to the 3D printers at the production site. Layer upon layer of light-curing acrylic resin appears to be built up from nothing to form the new hearing aid shell.","Silicone impressions of the ear canal (which are still taken by hand) are scanned into the computer using laser technology. Once a hearing aid shell has been finished on the computer, the file with the three-dimensional structure is stored in a central database and transmitted to the 3D printers at the production site. Layer upon layer of light-curing acrylic resin appears to be built up from nothing to form the new hearing aid shell.",https://www.sonova.com/sites/default/files/Sonova%203D-printing_start.jpg,https://www.sonova.com/sites/default/files/Sonova%203D-printing_start.jpg,,http://www.sonova.com/en/features/3d-printing-technology-improved-hearing,,,,,,,,,,"TECH24:3,TECH24","TECH24,TECH24:3"
IMP025,AI generated images of food,implementation,nlg,Computer generated original content,COMPCONT,,,,COMPCONT,AI algorithms developed by computer scientists from Tel Aviv University can generate fake photos of food from text recipes that list the ingredients and the method of preparation but don’t contain any visual description of how the final plate looks. ,AI algorithms developed by computer scientists from Tel Aviv University can generate fake photos of food from text recipes that list the ingredients and the method of preparation but don’t contain any visual description of how the final plate looks. ,"https://images.fastcompany.net/image/upload/w_937,c_limit,f_auto,q_auto,fl_lossy/wp-cms/uploads/2019/01/3-90293026-this-ai-generates-images-of-food-just-by-reading-the-recipe-813x457.jpg","https://images.fastcompany.net/image/upload/w_937,c_limit,f_auto,q_auto,fl_lossy/wp-cms/uploads/2019/01/3-90293026-this-ai-generates-images-of-food-just-by-reading-the-recipe-813x457.jpg",,https://www.fastcompany.com/90293026/this-ai-generates-images-of-food-just-by-reading-the-recipe,https://www.newscientist.com/article/2190259-ai-created-images-of-food-just-by-reading-the-recipes/,,,,,,,,,,
IMP150,“Can a robot write a symphony?”,implementation,jgp,Computer generated original content,COMPCONT,,,,COMPCONT,"A robot can’t create a piece of art to the same level as a human, but using AI and computational creativity to help create music, artists can retain creative control over their music while using AI as a creative supplement to inspire their lyrics and melodies. This is possible using ALYSIA, a songwriting AI enabling software created by WaveAI that allows anyone to create original songs in minutes.","A robot can’t create a piece of art to the same level as a human, but using AI and computational creativity to help create music, artists can retain creative control over their music while using AI as a creative supplement to inspire their lyrics and melodies. This is possible using ALYSIA, a songwriting AI enabling software created by WaveAI that allows anyone to create original songs in minutes.",https://sociable.co/wp-content/uploads/2018/12/robot-3010309_1280.jpg,https://sociable.co/wp-content/uploads/2018/12/robot-3010309_1280.jpg,,https://sociable.co/technology/can-a-robot-write-a-symphony-the-blossoming-artistic-talent-of-modern-day-ai/,,,,,,,,,,,
IMP150,AI image generation of faces,implementation,jgp,Computer generated original content,COMPCONT,,,,COMPCONT,"These realistic faces are the work of researchers from Nvidia. In their paper, shared publicly last week, they describe modifying the basic GAN architecture to create these images. ","These realistic faces are the work of researchers from Nvidia. In their paper, shared publicly last week, they describe modifying the basic GAN architecture to create these images. ",https://cdn.vox-cdn.com/thumbor/jkYbdFhNcv1RbS4JJ8rSgG_DXgs=/0x0:1114x556/1120x0/filters:focal(0x0:1114x556):format(webp):no_upscale()/cdn.vox-cdn.com/uploads/chorus_asset/file/13631823/Screen_Shot_2018_12_17_at_3.25.35_PM.png,https://cdn.vox-cdn.com/thumbor/jkYbdFhNcv1RbS4JJ8rSgG_DXgs=/0x0:1114x556/1120x0/filters:focal(0x0:1114x556):format(webp):no_upscale()/cdn.vox-cdn.com/uploads/chorus_asset/file/13631823/Screen_Shot_2018_12_17_at_3.25.35_PM.png,,https://www.theverge.com/2018/12/17/18144356/ai-image-generation-fake-faces-people-nvidia-generative-adversarial-networks-gans,,,,,,,,,,,
PRT143,ciVALUE,partner,jgp,"Adapt the conversation
Computer generated original content",ADAPCONV,COMPCONT,,,"ADAPCONV,COMPCONT","ciValue’s Precision Marketing platform helps you collaborate with suppliers to provide hyper-personalized offers to customers. ciValue’s customer behavior analytics and personalization, combined with Nielsen’s data and insight assets, ensure that your customers visit more often and buy larger more diverse baskets that truly fulfill their needs.","ciValue’s Precision Marketing platform helps you collaborate with suppliers to provide hyper-personalized offers to customers. ciValue’s customer behavior analytics and personalization, combined with Nielsen’s data and insight assets, ensure that your customers visit more often and buy larger more diverse baskets that truly fulfill their needs.","https://static.wixstatic.com/media/44807e_eabc514e4fd84769ada1b4857066e55e~mv2.png/v1/fill/w_200,h_41,al_c,lg_1,q_80/Logo.webp","https://static.wixstatic.com/media/44807e_eabc514e4fd84769ada1b4857066e55e~mv2.png/v1/fill/w_200,h_41,al_c,lg_1,q_80/Logo.webp",,https://www.civalue.com/,,,,,,,,,,,
TECH71:1,Gimbal,partner,tpc,"Computer generated original content
Reward for each Consumer Journey Step",COMPCONT,REWASTEP,,,"COMPCONT,REWASTEP","In app or via paid media, Gimbal has the tools to collect valuable data from existing or potential customers and reach any audience on mobile with relevant, captivating experiences.","In app or via paid media, Gimbal has the tools to collect valuable data from existing or potential customers and reach any audience on mobile with relevant, captivating experiences.",../main/img/oldtechimg/gimbal.png,../main/img/oldtechimg/gimbal.png,,https://gimbal.com/,,,,,,,,,,"TECH71:2,TECH71:3,TECH71","TECH71,TECH71:2,TECH71:3"
PRT132,adpack,partner,jgp,"Biometric Validation and Analytics
Computer generated original content",BIOMVALI,COMPCONT,,,"BIOMVALI,COMPCONT",We provide real-time audience targeting through face detection with our screen-based out-of-home solution. adpack identifies persons in front of a screen by age and gender and plays targeted content. ,We provide real-time audience targeting through face detection with our screen-based out-of-home solution. adpack identifies persons in front of a screen by age and gender and plays targeted content. ,https://www.adpack.tv/wp-content/uploads/2018/05/Adpack_Logo_rgb_300.png,https://www.adpack.tv/wp-content/uploads/2018/05/Adpack_Logo_rgb_300.png,,https://www.adpack.tv/,,,,,,,,,,,
TECH76:1,WIIVV,partner,tpc,Computer generated original content,COMPCONT,,,,COMPCONT,Wiivv Technology digitally maps each foot with over 200 points to create a 3D-printable file that is unique to each foot (even between left and right).,Wiivv Technology digitally maps each foot with over 200 points to create a 3D-printable file that is unique to each foot (even between left and right).,../main/img/oldtechimg/wiivv.jpg,../main/img/oldtechimg/wiivv.jpg,,https://wiivv.com/,,,,,,,,,,"TECH76:2,TECH76","TECH76,TECH76:2"
TECH76:2,Knyttan,partner,tpc,Computer generated original content,COMPCONT,,,,COMPCONT,"With the Unmade customization editor, consumers see exactly what they are going to get. Before it has even been made. ","With the Unmade customization editor, consumers see exactly what they are going to get. Before it has even been made. ",../main/img/oldtechimg/knyttan.jpg,../main/img/oldtechimg/knyttan.jpg,,https://www.unmade.com/,,,,,,,,,,"TECH76:1,TECH76","TECH76,TECH76:1"
